CASEID,FOLIO,REGION,MANZANA,NSE,INT_CODE,A,B,P1,SEXO1,SEXO2,SEXO3,SEXO4,SEXO5,SEXO6,SEXO7,SEXO8,SEXO9,SEXO10,SEXO11,SEXO12,SEXO13,SEXO14,SEXO15,EDAD1,EDAD2,EDAD3,EDAD4,EDAD5,EDAD6,EDAD7,EDAD8,EDAD9,EDAD10,EDAD11,EDAD12,EDAD13,EDAD14,EDAD15,ACTIV_1A,ACTIV_1B,ACTIV_1C,ACTIV2,ACTIV3,ACTIV4,ACTIV5,ACTIV6,ACTIV7,ACTIV8,ACTIV9,ACTIV10,ACTIV11,ACTIV12,ACTIV13,ACTIV14,ACTIV15,REL2,REL3,REL4,REL5,REL6,REL7,REL8,REL9,REL10,REL11,REL12,REL13,REL14,REL15,P3,P3_1,P3_2,P3_3,P4,P4_1,P4_2,P4_3,P5,P6,P7,P8_1,P8_2,P9,P10,P11,P12,P13,P14,P15,P15_1,P16,P16_1,P17,P17_S,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P32_S,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P47_S,P48,P49,P50,P51,P52,P52_A,P53,P54,P54_1,P55,P56,P57,P57_S,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72,P72_A,P73,P73_A,P74_1,P74_2,P74_3,P74_4,P74_5,P74_6,P75,P75_A,P76,P77,P78,P78A,P79,P80,P81,P82,P83,P84,P85,P86,P86_S,P87,P88,P88_A,P89,P90,P91,P92,P93,P94,P95,P96,P97,P98,P98A,P98B,P98C,P99_1,P99_2,P99_3,P99_4,P99_1A,P99_2A,P99_3A,P99_4A,P1001,P101,P102,P103,P104,P105,P106,P107_1,P107_2,P107_3,P107_4,P107_5,P107_6,P107_1A,P107_2A,P107_3A,P107_4A,P107_5A,P108,P109,P110,P111_1,P111_2,P111_3,P111_4,P111_5,P111_6,P111_7,P111_8,P111_9,P111_10,P111_11,P112,P112_1,P113,P114,P115,P116,P116A,P116ASQ,P116B,P116_A,P116_B,P117,P117_A,P118,P119,P120,P121,P1220,P122_S,P123,P124,P125
640,760,8, ,3, ,1,48,4,1,2,1,1, , , , , , , , , , , ,48,47,23,18, , , , , , , , , , , ,5, , ,5,1,1, , , , , , , , , , , ,2,3,3, , , , , , , , , , , ,2,387,8,1,3,38,8,3,4,4, ,1,1,3, ,1, , , , , , ,1,5220,0,52,1,3,1,2, ,2,5,4,48,2,1991,19,5220,0,52,1,3,1,2, ,1,5,4,48,1979,5,1, , , , , , ,2,0,2, , , ,1937,7136,0,41,1,3,2, ,1,6,0,0,1,0,0,0,0,2,0,2,0, , , , , , ,2,0,2,2,1,1,4,4,1,0, , , , , , , , , ,1977,3,1,2,2, , ,2,4,4,0,0, , , , , , , , ,1,1986,4,1, ,30000000,2, , , , , , , , , , , ,7,2,8,1,1,1,2,2,2,2,2,1,2, ,2, ,2,5,2,6,6,36,6,2,2,2, ,1,4,4,1,0,0,0,0,0
641,1118,13, ,4,13,1,48,7,1,2,2,1,1,2,2, , , , , , , , ,48,43,22,20,17,12,2, , , , , , , , ,2, , ,5,5,1,1,1,1, , , , , , , , ,2,3,3,3,3,7, , , , , , , , ,1, , , ,1, , ,99,4,3, ,1,1,4, ,2,1,2, ,1,2000,1,2,8323,0,60,1,3,2,2, ,1,2,4,60,1,1999,18,4190,0,75,1,4,1,1,1,1,7,4,48,1973,5,1, , , , , , ,2,0,6,1,1,23,1925,8324,0,60,1,3,2, ,1,4,6,2,9,3,3,9,0,2,0,2,0, , , , , , ,2,0,3,1,1,1,4,3,2,2,3,6,9,5122,0,2,1,1,2,1980,4,3,1,2, , ,2,4,4,0,0, , , , , , , , ,1,1994,4,1, ,16000000,2, , , , , , , , , , , ,1,1,5,1,1,1,2,2,2,2,2,2,2, ,1,1,2,5,2,0, , ,0, , ,2, ,2, , , , , , , , 
642,2554,7, ,3, ,1,55,4,1,2,1,2, , , , , , , , , , , ,55,48,20,13, , , , , , , , , , , ,5, , ,3,2,2, , , , , , , , , , , ,2,2,7, , , , , , , , , , , ,2,279,7,1,3,109,7,1,3,6, ,1,4,6,5,1, , , , , , ,1,8331,0,1,1,3,1,2, ,1,2,4,60,1,1993,18,6114,0,1,1,3,5,2, ,1,0,4,40,1970,5,1, , , , , , ,1,1, , , , ,1920,6114,1,1,1,3,1,2,1,4,3,5,9,3,6,9,1,2,0,2,0, , , , , , ,2,0,4,2,1,1,2,6,2,1,1,0,9,9322,0,2,1,1,2,1968,1,1,1,2, , ,2,4,4,0,0, , , , , , , , ,1,1993,4,1, ,7000000,2, , , , , , , , , , , ,4,1,4,1,1,1,2,2,2,2,2,2,2, ,1,1,2,3,2,5,5,25,5,2,2,1,2,1,6,2,1,8331,0,1,3,1
643,3648,13, ,4,163,1,48,3,1,2, , , , , , , , , , , , , ,47,19, , , , , , , , , , , , , ,3, , ,1, , , , , , , , , , , , , ,3, , , , , , , , , , , , , ,1, , , ,1, , ,99,4,1, ,1,1,3, ,1, , , , , , ,1,3415,0,22,2,2, ,2, , , ,4,48,2,1969,12,9151,0,15,2,3,5,2, ,1,6,4,48,1968,5,1, , , , , , ,1,1, , , , ,1914,7422,0,36,1,3,2, ,1,4,3,5,9,3,4,9,1,1,1,2,0, , , , , , ,2,0,2,1,1,1,4,1,3,2,0,0,1,9131,0,2,1,1,2,1973,1,3,1,2, , ,2,3,3,2,1,2,2,2,1,0,0,0,1,1,1991,4,2, ,0,2, , , , , , , , , , , ,7,1,7,1,1,1,2,2,2,2,2,1,1, ,1,1,2,4,2,4,4,16,4,2,2,2, ,1,4,2,3, , , , ,2
644,1139,7, ,3, ,1,50,2,1,2, , , , , , , , , , , , , ,50,47, , , , , , , , , , , , , ,5, , ,3, , , , , , , , , , , , , ,2, , , , , , , , , , , , , ,1, , , ,1, , ,99,3,4, ,1,4,6,3,1, , , , , , ,1,7442,0,93,1,2, ,2, , , ,2,24,2,1978,20,7124,0,45,1,3,2,2, ,1,4,2,50,1975,5,1, , , , , , ,1,1, , , , ,1927,7411,0,52,1,2, , , , ,3,3,9,3,4,9,3,2,0,2,0, , , , , , ,2,0,4,2,1,1,4,2,3,1,0,0,1,8112,0,2,1,1,1,1979,1,1,1,2, , ,2,4,4,0,0, , , , , , , , ,1,1997,4,1, ,6000000,2, , , , , , , , , , , ,3,1,3,2,1,2,2,2,2,2,2,2,2, ,2, ,2,5,2,4,4,16,4,2,2,2, ,1,3,5,1,1316,0,60,2,1
645,958,13, ,3,355,1,52,3,1,2,1, , , , , , , , , , , , ,52,52,18, , , , , , , , , , , , ,5, , ,3,1, , , , , , , , , , , , ,2,3, , , , , , , , , , , , ,1, , , ,1, , ,99,4,4, ,1,1,3, ,1, , , , , , ,1,8322,0,75,1,3,1,2, ,1,6,4,48,2,1976,18,7241,0,13,2,3,2,2, ,1,7,4,48,1968,5,1, , , , , , ,1,1, , , , ,1923,7241,0,13,1,3,2, ,1,7,3,6,9,3,6,9,3,1,1,2,0, , , , , , ,2,0,5,2,1,1,9,3,3,1,3,6,9,7424,0,1,1,1,2,1970,1,1,1,2, , ,1,4,4,0,0, , , , , , , , ,1,1986,4,1, ,10000000,1,2,2,2,1,2, ,0,0,0,1,0,6,1,6,1,1,1,2,2,2,2,2,2,2, ,1,1,1,5,2,7,7,49,7,2,2,2, ,1,11,3,1,3221,0,85,3,2
646,874,2, ,2, ,1,49,5,1,2,2,2,1, , , , , , , , , , ,49,47,21,16,6, , , , , , , , , , ,5, , ,3,1,1,1, , , , , , , , , , ,2,3,3,3, , , , , , , , , , ,2,161,5,2,1, , ,99,13,5,301,1,1,4, ,1, , , , , , ,1,4190,1,75,0,4,1,1,1,1,4,4,44,3,1977,25,4190,1,75,1,4,1,1,1,1,4,4,44, ,5,1, , , , , , ,1,1, , , , ,1930,5220,0,52,1,2, , , , ,6,6,9,6,6,9,1,1,1,1,1,2,2,1,2,2, ,1,1,5,2,1,1,4,4,3,2,7,3,9,99,0,3,2,0,2,1977,1,3,2,2, , ,2,4,4,0,0, , , , , , , , ,1,1982,4,1, ,17000000,1,2,2,1,2,2, ,0,0,1,0,0,10,1,10,1,1,1,2,2,1,1,1,1,2, ,1,1,1, , ,4,4,16,4,1,2,2, ,2, , , , , , , , 
647,1276,9, ,3, ,1,53,6,1,2,1,1,2,2, , , , , , , , , ,53,58,28,26,25,2, , , , , , , , , ,5, , ,5,1,2,1, , , , , , , , , , ,2,3,3,3,7, , , , , , , , , ,2,245,10,2,1, , ,99,7,6,108,2,1,3, ,1, , , , , , ,1,2411,0,93,1,3,1,1,2,1,4,4,60,2,1991,21,2411,0,15,2,3,2,2, ,1,4,4,24,1970,5,1, , , , , , ,1,1, , , , ,1914,826,0,17,1,3,2, ,1,4,2,6,9,2,6,9,3,2,0,1,1,2,1,2,2,2,2,2,0,5,2,1,1,4,4,1,1,4,4,9,110,0,2,1,1,2,1971,1,1,2,2, , ,2,2,2,1,1,1,2,2,2,1,0,0,0,1,1987,3,1, ,20000000,1,2,2,1,2,2,2,0,0,1,0,0,8,2,9,1,1,1,2,2,2,2,1,1,2, ,1,1,2,7,3,1,1,1,1,2,1,2, ,1,4,4,3, , , , ,1
648,1616,13, ,3,50,1,47,7,1,1,1,2,2,2,2, , , , , , , , ,47,27,26,28,5,2,15, , , , , , , , ,5, , ,1,5,5,1, ,1, , , , , , , , ,3,6,3,7,7,10, , , , , , , , ,2,232,8,2,1, , ,99,4,3, ,1,1,3, ,1, , , , , , ,1,9152,0,51,1,3,1,2, ,1,5,4,50,2,1996,17,5122,0,55,2,3,2,2, ,1,3,4,60,1996,5,2,5220,0,2,52,1994,1995,1,1, , , , ,1939,6114,0,1,1,1, , , ,4,2,6,9,2,4,9,3,1,1,1,1,2,1,2,2,1, ,1,1,4,4,1,1,2,6,3,1,2,3,9,6114,0,1,1,1,2,1972,1,1,2,2, , ,2,4,4,0,0, , , , , , , , ,1,1983,4,1, ,3000000,2, , , , , , , , , , , ,2,1,2,1,1,1,2,2,2,2,2,2,2, ,2, ,2,4,4,8,8,64,8,2,2,2, ,1,4,4,1,721,0,28,1,2
649,2280,9, ,4, ,1,47,4,1,2,1,2, , , , , , , , , , , ,47,35,18,10, , , , , , , , , , , ,5, , ,3,5,1, , , , , , , , , , , ,2,3,3, , , , , , , , , , , ,2,288,10,3,3,13,13,3,3,5, ,1,4,6,4,1, , , , , , ,1,7124,0,45,2,2, ,2, , , ,2,48,5,2001,15,9151,0,60,1,3,1,2, ,1,4,4,48,1975,5,2,7124,0,2,45,1994,1996,1,1, , , , ,1935,8141,0,2,1,3,2, ,1,5,0,0,1,0,0,1,3,2,0,2,0, , , , , , ,2,0,4,2,1,1,2,4,2,1,0,0,2,9211,0,2,2,0,2,1989,2,2,1,2, , ,2,4,4,0,0, , , , , , , , ,2, , ,7,70000,6000000,2, , , , , , , , , , , ,3,1,3,1,1,2,2,2,2,2,2,2,2, ,2, ,2,4,2,5,5,25,5,1,0,2, ,1,2,6,1,7124,0,45,3,1
650,2010,5, ,2,510,1,51,3,1,2,1, , , , , , , , , , , , ,51,50,79, , , , , , , , , , , , ,5, , ,3,4, , , , , , , , , , , , ,2,5, , , , , , , , , , , , ,2,13,13,3,2, , ,99,4,1, ,1,1,3, ,1, , , , , , ,1,9113,0,52,1,2, ,2, , , ,4,20,5,1963,14,9113,0,52,1,2, , , , , ,4,20, ,5,1, , , , , , ,2,0,5,31, ,22,0,2411,0,64,1,3,1,2,1,4,9,4,9,3,5,9,3,1,1,2,0, , , , , , ,2,0,5,3,2,0,6,1,3,1,3,3,9,7122,0,2,2,0,2,1985,3,2,2,1,1,2,2,4,4,0,0, , , , , , , , , , , ,7,65000,0,1,2,2,1,2,2, ,0,0,1,0,0,2,2,3,2,1,1,2,2,2,2,2,2,2, ,2, ,2,1,1,1,1,1,1,1,2,2, ,2, , , , , , , , 
651,1130,10, ,2, ,1,53,4,1,2,2,2, , , , , , , , , , , ,53,52,66,23, , , , , , , , , , , ,5, , ,3,3,5, , , , , , , , , , , ,2,4,3, , , , , , , , , , , ,2,275,10,1,1, , ,99,3,6, ,1,4,3, ,1, , , , , , ,1,7422,0,36,2,2, ,2, , , ,3,20,5,1995,10,9211,0,1,2,2, , , , , ,4,48,1973,5,1, , , , , , ,1,1, , , , ,1918,9211,0,1,1,1, , , ,3,3,4,9,3,4,9,3,1,1,2,0, , , , , , ,2,0,4,2,2,0,4,3,3,8, , , , , , , , , ,1975,1,1,2,1,2,3,2,3,3,2,1,1,2,2,2,1,0,0,0, , , ,1, ,15000000,2, , , , , , , , , , , ,5,2,7,1,1,2,2,2,2,2,2,2,2, ,1,1,2,6,3,6,6,36,6,2,2,2, ,1,3,4,1,6114,1,1,2,2
652,1788,8, ,4, ,1,50,5,1,2,2,1,1, , , , , , , , , , ,50,38,16,12,6, , , , , , , , , , ,5, , ,5,1,1,1, , , , , , , , , , ,2,3,3,3, , , , , , , , , , ,2,101,8,3,1, , ,99,7,5,123,1,1,3, ,1, , , , , , ,1,4211,0,65,1,3,1,2, ,1,3,4,48,1,1972,26,4190,0,65,1,4,1,2, ,1,4,2,48,1975,5,1, , , , , , ,1,1, , , , ,1910,4121,0,75,1,3,1,2,1,5,7,5,9,7,5,9,3,1,1,2,0, , , , , , ,1,1,7,3,2,0,7,5,1,1,6,6,9,9110,0,1,1,1,1,1991,2,4,2,2, , ,1,4,4,0,0, , , , , , , , ,2, , ,7,90000,15000000,1,2,2,1,2,2,2,0,0,1,0,0,9,2,9,1,1,1,1,2,1,1,1,1,0, ,1,2,2,6,3,4,4,16,4,2,2,2, ,1,5,5,1,4121,0,65,4,1
653,3784,13, ,3,193,1,51,4,1,2,2,1, , , , , , , , , , , ,51,51,32,27, , , , , , , , , , , ,2, , ,3,5,2, , , , , , , , , , , ,2,3,3, , , , , , , , , , , ,2,542,9,2,1, , ,99,3,6, ,1,4,4, ,2,2,2, ,1,1997,7,2,7132,0,45,2,3,2,2, ,1,6,4,48,2,1996,20,7136,0,45,1,3,1,2, ,1,4,4,48,1972,5,2,7122,0,2,45,1993,1995,2,0,5,35, ,23,1915,6114,0,1,1,2, , , , ,1,0,9,0,0,0,0,1,1,2,0, , , , , , ,2,0,1,1,1,1,3,2,3,1,0,0,0,9211,0,2,2,0,2,1971,1,2,2,1,2,4,2,4,4,0,0, , , , , , , , , , , ,1, ,7000000,2, , , , , , , , , , , ,1,1,2,1,1,1,2,2,2,2,2,2,2, ,1,1,2,2,1,9,9,81,9,2,2,2, ,1,3,6,1,7122,0,45,3,0
654,2121,8, ,2, ,1,48,2,1,2, , , , , , , , , , , , , ,48,69, , , , , , , , , , , , , ,5, , ,4, , , , , , , , , , , , , ,4, , , , , , , , , , , , , ,2,13,13,3,1, , ,99,13,5,4792,1,1,4, ,1, , , , , , ,1,23,0,80,1,4,1,2, ,1,4,4,30,2,1979,25,2300,0,80,1,3,3,2, ,1,4,4,10,1979,5,1, , , , , , ,1,1, , , , ,1927,3450,0,75,1,3,2, ,1,6,11,3,9,4,3,9,3,1,1,2,0, , , , , , ,2,0,5,3,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,24000000,2, , , , , , , , , , , ,8,2,10,1,1,1,2,2,1,1,2,1,1, ,2, ,1,6,3,0, , ,0, , ,2, ,2, , , , , , , , 
655,671,13, ,3,541,1,53,2,1,2, , , , , , , , , , , , , ,53,79, , , , , , , , , , , , , ,2, , ,4, , , , , , , , , , , , , ,4, , , , , , , , , , , , , ,1, , , ,1, , ,99,11,5,105,2,1,6,3,2,2,1,100,1,1995, ,2,612,0,1,1,3,2,2, ,1,4,4,60,2,1967,16,5220,0,52,1,3,1,2, ,1,4,4,48,1965,5,1, , , , , , ,1,1, , , , ,1914,7411,0,15,1,3,2, ,1,4,3,1,9,6,1,9,1,1,1,2,0, , , , , , ,2,0,5,3,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6, , ,1,2,2,2,1,2, ,0,0,0,1,0,1,1,2,1,1,1,2,2,2,2,2,2,2, ,2, ,2,3,2,1,1,1,1,2,1,2, ,1,3,6,1,1314,0,52,2,1
656,1814,6, ,4, ,1,52,5,1,2,1,2,2, , , , , , , , , , ,52,50,30,26,7, , , , , , , , , , ,5, , ,3,2,3,6, , , , , , , , , , ,2,10,6,7, , , , , , , , , , ,1, , , ,1, , ,99,3,6, ,1,4,6,3,1, , , , , , ,1,9211,0,1,1,3,2,2, ,1,4,4,48,2,1984,14,9211,0,1,2,3,5,2, ,1,3,4,48,1966,5,1, , , , , , ,1,1, , , , ,1900,9211,0,1,2,3,2, ,1,0,3,1,9,3,4,9,3,1,1,1,1,2,1,2,2,2,2,2,0,1,1,1,1,2,5,3,1,2,3,9,9211,0,2,2,0,2,1971,1,1,1,2, , ,2,4,4,0,0, , , , , , , , ,1,1971,4,1, ,6000000,2, , , , , , , , , , , ,3,1,3,1,2,2,2,2,2,2,2,2,2, ,2, ,2,2,1,5,5,25,5,2,2,2, ,1,3,2,2,7124,0,45,3,1
657,2217,6, ,4, ,1,54,4,1,2,1,2, , , , , , , , , , , ,54,22,24,4, , , , , , , , , , , ,5, , ,3,5,1, , , , , , , , , , , ,3,6,7, , , , , , , , , , , ,2,206,6,0,2, , ,99,3,4, ,1,4,1, ,1, , , , , , ,1,7421,0,51,1,3,1,2, ,1,6,4,48,1,1995,18,8331,0,1,1,3,1,2, ,1,6,4,48,1968,5,2,7421,0,1, ,1995,0,1,1, , , , ,1913,9211,0,1,1,3,2, ,1,6,0,0,2,3,5,9,3,1,1,2,0, , , , , , ,2,0,4,3,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,7000000,2, , , , , , , , , , , ,3,2,5,1,1,1,2,2,2,2,2,2,2, ,1,1,2,4,2,8,8,64,8,2,2,2, ,1,3,5,1,9211,0,1,3,2
658,2482,3, ,4,409,1,52,6,1,2,2,1,1,2, , , , , , , , , ,52,38,20,19,9,1, , , , , , , , , , , , ,3,3,2,1,6, , , , , , , , , ,2,3,3,3,7, , , , , , , , , ,1, , , ,1, , ,99,7,4,0,1,1,2, ,1, , , , , , ,1,7233,0,45,2,3,2,2, ,1,5,4,48,2,2000,18,9211,0,1,1,3,5,2, ,1,3,4,48,1966,5,2,0,0,2,13,1992,1997,1,1, , , , ,1912,7129,0,45,2,2, , , , ,3,2,9,3,2,9,3,1,1,1,1,2,2,1,2,2, ,2,0,1,1,1,1,2,6,3,1,3,5,9,7111,0,2,1,1,2,1980,1,1,1,2, , ,2,4,4,0,0, , , , , , , , ,1,1984,4,1, ,5000000,2, , , , , , , , , , , ,4,1,4,2,2,2,2,2,2,2,2,2,2, ,2, ,2,5,3,9,9,81,9,2,2,2, ,1,3,4,1,8324,0,60,3,1
659,3797,13, ,4,356,1,54,3,1,2,1, , , , , , , , , , , , ,54,51,22, , , , , , , , , , , , ,2, , ,5,1, , , , , , , , , , , , ,2,3, , , , , , , , , , , , ,2,166,8,2,2, , ,99,3,3, ,1,4,6,3,2,2,2, ,1,2001,9,2,5123,0,55,1,3,1,2, ,1,4,4,60,2,1972,14,5220,0,52,1,3,1,2, ,2,3,4,50,1964,5,1, , , , , , ,2,0,6,31, ,30,1900,5220,0,14,1,3,2, ,1,7,0,0,0,0,0,0,3,1,1,2,0, , , , , , ,2,0,2,1,1,1,2,8,2,1,3,4,9,8266,0,2,2,0,2,1968,3,1,1,2, , ,2,4,4,0,0, , , , , , , , ,1,1980,0,1, ,8000000,2, , , , , , , , , , , ,1,1,2,1,1,1,2,2,2,2,2,2,2, ,2, ,2,4,2,0, , ,0, , ,2, ,2, , , , , , , , 
660,1298,7, ,5, ,1,50,3,1,2,2, , , , , , , , , , , , ,50,49,22, , , , , , , , , , , , ,2, , ,3,5, , , , , , , , , , , , ,2,3, , , , , , , , , , , , ,1, , , ,1, , ,99,3,5, ,1,4,6,3,2,2,1,30,1,2000, ,2,9211,0,1,2,3,4,2, ,1,5,4,40,2,2000,16,9211,0,1,1,3,4,1,0,1,5,4,50,1973,5,2,0,0,2,0,0,0,2,0,7,1, ,23,1930,9211,0,1,1,3,2, ,1,5,0,0,1,0,0,1,3,2,0,2,0, , , , , , ,2,0,3,1,1,1,3,5,3,1,1,0,9,9211,0,2,2,0,2,1970,4,1,1,2, , ,2,4,4,0,0, , , , , , , , ,1,2000,4,1, ,15000000,2, , , , , , , , , , , ,1,2,3,1,2,2,2,2,2,2,2,2,2, ,2, ,2,3,1,5,5,25,5,2,2,2, ,1,3,3,1,8290,0,50,3,1
661,1898,4, ,4,405,1,56,4,1,2,1,1, , , , , , , , , , , ,56,50,19,12, , , , , , , , , , , ,2, , ,3,2,1, , , , , , , , , , , ,2,3,3, , , , , , , , , , , ,2,198,8,3,3,13,13,3,3,5, ,1,4,6,5,2,1,1,32,1,2000, ,2,7122,0,45,2,3,2,2, ,1,3,4,50,1,1999,12,9322,0,20,2,3,5,2, ,1,4,4,48,1956,5,2,7122,0,2,45,1995,2000,2,0,8,31, ,31,1916,8262,0,17,1,3,2, ,1,7,3,0,9,0,0,2,1,2,0,2,0, , , , , , ,2,0,4,2,1,1,3,6,3,6,0,0,2,99, ,3,1,1,2,1981,1,3,2,2, , ,2,4,4,0,0, , , , , , , , ,2, , ,7,25000,1500000,2, , , , , , , , , , , ,3,1,3,2,2,2,2,2,2,2,2,2,2, ,2, ,2,2,1,12,12,144,12,2,2,1,4,1,3,5,1,9312,0,45,3,1
662,299,13, ,4,193,1,50,3,1,2,1, , , , , , , , , , , , ,50,52,16, , , , , , , , , , , , ,5, , ,2,1, , , , , , , , , , , , ,2,3, , , , , , , , , , , , ,1, , , ,1, , ,99,6,1, ,1,1,3, ,1, , , , , , ,1,5230,0,52,1,3,5,2, ,2,1,4,70,5,1996,12,5220,0,52,1,3,1,2, ,1,2,4,48,1969,5,2,5230,0,2,52,1975,1995,1,1, , , , ,1901,3423,0,45,1,3,1,1,1,0,1,0,9,6,6,9,3,2,0,1,1,2,1,1,2,2, ,2,0,6,3,1,1,6,1,3,1,0,0,1,7441,0,2,1,1,2,1970,1,1,1,2, , ,2,4,4,0,0, , , , , , , , ,2, , ,6, , ,2, , , , , , , , , , , ,3,1,3,1,1,2,2,2,2,2,2,2,2, ,2, ,2,2,1,2,2,4,2,2,1,2, ,1,9,0,1,5220,0,52,1,2
663,2925,8, ,4, ,1,52,5,1,2,2,1,2, , , , , , , , , , ,52,59,22,4,5, , , , , , , , , , ,4, , ,5,5,1,1, , , , , , , , , , ,2,3,7,7, , , , , , , , , , ,2,77,8,2,1, , ,99,4,1, ,1,2,2, ,2,1,2, ,1,1981,6,2,6113,0,95,2,2, ,2, , , ,4,3,5,1976,23,9132,0,93,2,2, , , , , ,4,2,1974,3, , , , , , , ,1,1, , , , ,1929,7221,0,45,2,2, , , , ,3,1,9,3,3,9,3,1,1,2,0, , , , , , ,2,0,2,1,1,1,3,2,1,1,3,2,9,7442,0,1,2,0,2,1970,1,4,2,2, , ,2,4,4,0,0, , , , , , , , ,1,1984,4,1, ,5000000,2, , , , , , , , , , , ,1,3,4,1,1,2,2,2,2,2,2,2,2, ,2, ,2,3,1,5,5,25,5,2,2,2, ,1,3,3,1,9211,0,1,2,1
664,1886,8, ,3, ,1,51,5,1,2,2,1,1, , , , , , , , , , ,51,49,26,24,5, , , , , , , , , , ,5, , ,3,5,1,1, , , , , , , , , , ,2,3,3,3, , , , , , , , , , ,2,266,8,2,1, , ,99,3,6, ,1,4,6,3,1, , , , , , ,1,5132,0,85,1,3,1,2, ,1,6,4,48,2,1968,18,9320,0,21,2,3,5,2, ,1,7,4,48,1967,5,1, , , , , , ,2,0,1,1, ,1,1920,9131,0,0,1,5,2, ,1,1,3,3,9,99,99,9,9,1,1,2,0, , , , , , ,2,0,5,3,1,1,4,2,3,1,3,6,9,9322,0,2,1,1,2,1971,3,1,1,2, , ,2,4,4,0,0, , , , , , , , ,1,1977,4,2, ,20000000,2, , , , , , , , , , , ,4,2,6,1,1,1,2,2,2,1,1,1,2, ,2, ,2,6,3,5,5,25,5,2,1,1,4,1,3,6,1,9132,0,85,4,1
665,2372,13, ,4,50,1,56,7,1,2,1,1,1,2, , , , , , , , , ,56,28,27,13,3,50, , , , , , , , , ,2, , ,5,5,1, ,3, , , , , , , , , ,3,3,3,4,2, , , , , , , , , ,2,198,8,1,1, , ,99,9,3,100,1,1,5, ,2,1,1,192,1,1997, ,2,7231,0,50,1,2, ,2, , , ,4,50,2,1989,23,7231,0,50,1,3,5,2, ,1,3,4,60,1973,5,1, , , , , , ,1,1, , , , ,1916,6114,0,1,1,2, , , , ,3,6,9,3,6,9,2,1,1,1,1,2,1,2,2,2, ,2,0,5,3,1,1,4,3,3,1,3,6,9,1100,0,2,1,1,2,1971,1,1,2,2, , ,2,4,4,0,0, , , , , , , , ,1,1985,4,1, ,12000000,2, , , , , , , , , , , ,2,3,7,1,1,1,2,2,2,2,2,2,2, ,2, ,2,3,2,11,11,121,11,2,2,2, ,1,13,5,0,2331,0,80,4,1
666,3014,10, ,2, ,1,56,6,1,2,2,2,1,1, , , , , , , , , ,56,44,25,3,0,25, , , , , , , , , ,5, , ,3,5,6,6,5, , , , , , , , , ,2,3,7,7,6, , , , , , , , , ,1, , , ,1, , ,99,4,4, ,1,1,3, ,1, , , , , , ,1,8322,0,60,1,1, ,1, , ,2,4,48,4,1970,18,8322,0,60,1,1, , , , ,1,4,48, ,5,1, , , , , , ,1,1, , , , ,1907,832,0,75,1,4,1,1,1,4,6,6,9,6,4,9,3,1,1,2,0, , , , , , ,0, ,6,3,1,1,4,4,3,1,0,0,0,0,0,0,0, ,0,1975,1,1,1,2, , ,1,3,3,2,1,1,2,2,1,1,0,0,1,1,1978,1,1, ,25000000,1,2,2,1,2,2, ,0,0,1,0,0,9,2,10,1,1,1,2,1,2,1,1,2,2, ,1,4,0,6,3,2,2,4,2,1,0,1,1,2, , , , , , , , 
667,2250,6, ,2, ,1,50,4,1,2,1,1, , , , , , , , , , , ,50,50,24,22, , , , , , , , , , , ,5, , ,3,1,1, , , , , , , , , , , ,2,3,3, , , , , , , , , , , ,2,134,4,2,3,37,5,3,11,4,100,1,3,2, ,1, , , , , , ,1,4131,0,13,1,3,1,1,1,1,7,4,72,2,1974,16,4131,0,51,1,1, , , , ,5,4,48,1974,5,1, , , , , , ,2,0,5,39, ,21,0,4212,0,51,1,3,2, ,1,5,3,2,9,1,0,0,1,2,0,2,0, , , , , , ,2,0,1,1,1,1,5,5,3,1,3,6,9,7412,1,2,1,1,2,1973,1,1,2,2, , ,2,4,4,0,0, , , , , , , , ,1,1984,4,1, ,16000000,2, , , , , , , , , , , ,10,1,10,1,1,1,2,2,1,1,1,1,1, ,2, ,1,7,3,0, , ,0, , ,1,3,2, , , , , , , , 
668,1954,7, ,5, ,1,52,3,1,2,1, , , , , , , , , , , , ,52,55,10, , , , , , , , , , , , ,5, , ,3,1, , , , , , , , , , , , ,2,3, , , , , , , , , , , , ,2,287,9,2,1, , ,99,3,6, ,1,4,3, ,2,2,2, ,1,1981,4,2,9211,0,1,1,3,5,2, ,1,4,4,48,1,1977,12,9211,0,1,1,3,5,2, ,1,3,4,40,1964,4, , , , , , , ,2,0,1,1, ,25,1920,9312,0,75,2,4,2, ,1,7,3,6,9,1,0,0,1,2,0,2,0, , , , , , ,2,0,2,1,1,1,3,6,3,3,0,0,1,9141,0,2,2,0,2,1970,3,4,2,2, , ,2,4,4,0,0, , , , , , , , ,2, , ,3, ,3000000,2, , , , , , , , , , , ,1,1,2,2,2,2,2,2,2,2,2,2,2, ,2, ,2,1,1,12,12,144,12,2,2,2, ,1,3,6,2,9312,0,75,4,2
