CASEID,FOLIO,REGION,MANZANA,NSE,INT_CODE,A,B,P1,SEXO1,SEXO2,SEXO3,SEXO4,SEXO5,SEXO6,SEXO7,SEXO8,SEXO9,SEXO10,SEXO11,SEXO12,SEXO13,SEXO14,SEXO15,EDAD1,EDAD2,EDAD3,EDAD4,EDAD5,EDAD6,EDAD7,EDAD8,EDAD9,EDAD10,EDAD11,EDAD12,EDAD13,EDAD14,EDAD15,ACTIV_1A,ACTIV_1B,ACTIV_1C,ACTIV2,ACTIV3,ACTIV4,ACTIV5,ACTIV6,ACTIV7,ACTIV8,ACTIV9,ACTIV10,ACTIV11,ACTIV12,ACTIV13,ACTIV14,ACTIV15,REL2,REL3,REL4,REL5,REL6,REL7,REL8,REL9,REL10,REL11,REL12,REL13,REL14,REL15,P3,P3_1,P3_2,P3_3,P4,P4_1,P4_2,P4_3,P5,P6,P7,P8_1,P8_2,P9,P10,P11,P12,P13,P14,P15,P15_1,P16,P16_1,P17,P17_S,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P32_S,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P47_S,P48,P49,P50,P51,P52,P52_A,P53,P54,P54_1,P55,P56,P57,P57_S,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72,P72_A,P73,P73_A,P74_1,P74_2,P74_3,P74_4,P74_5,P74_6,P75,P75_A,P76,P77,P78,P78A,P79,P80,P81,P82,P83,P84,P85,P86,P86_S,P87,P88,P88_A,P89,P90,P91,P92,P93,P94,P95,P96,P97,P98,P98A,P98B,P98C,P99_1,P99_2,P99_3,P99_4,P99_1A,P99_2A,P99_3A,P99_4A,P1001,P101,P102,P103,P104,P105,P106,P107_1,P107_2,P107_3,P107_4,P107_5,P107_6,P107_1A,P107_2A,P107_3A,P107_4A,P107_5A,P108,P109,P110,P111_1,P111_2,P111_3,P111_4,P111_5,P111_6,P111_7,P111_8,P111_9,P111_10,P111_11,P112,P112_1,P113,P114,P115,P116,P116A,P116ASQ,P116B,P116_A,P116_B,P117,P117_A,P118,P119,P120,P121,P1220,P122_S,P123,P124,P125
11,206,13, ,3,443,1,60,4,1,2,1,1, , , , , , , , , , , ,60,59,23,19, , , , , , , , , , , ,5, , ,3,5,1, , , , , , , , , , , ,2,3,3, , , , , , , , , , , ,2,74,7,2,2, , ,99,6,6, ,1,1,4, ,1, , , , , , ,1,7332,0,19,1,2, ,2, , , ,4,55,5,1993,18,7332,0,11,1,3,1,2, ,1,3,4,48,1962,5,1, , , , , , ,1,1, , , , ,1915,3112,0,45,1,4,1,2,1,5,7,6,9,3,4,9,1,1,1,2,0, , , , , , ,2,0,6,3,1,1,6,2,3,2,3,3,9,9211,0,2,2,0,2,1962,1,3,1,2, , ,2,4,4,0,0, , , , , , , , ,1,1976,4,1, ,50000000,2, , , , , , , , , , , ,5,1,6,1,1,1,2,2,2,1,2,2,2, ,1,1,1,5,3,5,5,25,5,2,2,2, ,1,7,5,1,7332,0,19,2,2
12,318,13, ,3,293,1,60,4,1,2,2,1, , , , , , , , , , , ,60,52,27,25, , , , , , , , , , , ,4, , ,3,5,1, , , , , , , , , , , ,2,3,3, , , , , , , , , , , ,2,94,7,3,1, , ,99,6,6, ,3,3,3, ,2,2,2, ,1,1997,6,2,3419,1,65,1,3,1,1,1,1,7,4,44,2,1963,22,3419,0,65,1,3,1,2, ,1,0,4,48,1997,5,1, , , , , , ,1,1, , , , ,1919,8322,0,60,1,2, , , , ,3,6,9,6,6,9,1,1,1,2,0, , , , , , ,1,1,5,3,1,1,6,6,3,1,3,6,9,5220,0,1,2,0,2,1968,1,1,2,2, , ,2,4,4,0,0, , , , , , , , ,1,1978,4,1, ,20000000,2, , , , , , , , , , , ,1,2,9,1,1,1,2,2,1,1,1,1,1, ,1,2,1,4,3,5,5,25,5,1,2,2, ,1,6,6,1,4190,0,51,3,2
13,1671,10, ,3, ,1,60,5,1,2,2,2,1, , , , , , , , , , ,60,50,28,13,4, , , , , , , , , , ,5, , ,3,5,1,6, , , , , , , , , , ,2,3,3,7, , , , , , , , , , ,2,152,8,1,1, , ,99,5,3, ,1,1,3, ,1, , , , , , ,1,4141,0,91,1,3,1,2, ,1,4,4,48,1,1970,19,7124,0,13,1,3,1,2, ,1,7,4,48,1963,5,1, , , , , , ,2,0,7,34, ,30,0,6114,0,1,1,1, , , ,2,6,6,9,6,6,9,1,1,1,2,0, , , , , , ,1,1,6,3,1,1,3,4,3,1,0,0,1,7111,0,2,2,0,2,1967,2,1,2,2, , ,2,4,4,0,0, , , , , , , , ,1,1986,4,1, ,2000000,2, , , , , , , , , , , ,4,1,4,1,1,1,2,2,2,2,2,2,2, ,2, ,2,3,2,3,3,9,3,1,2,2, ,2, , , , , , , , 
14,88,13, ,4,425,1,62,3,1,2,2, , , , , , , , , , , , ,62,72,27, , , , , , , , , , , , ,5,4, ,3,5, , , , , , , , , , , , ,2,3, , , , , , , , , , , , ,2,189,10,1,2, , ,99,3,5, ,1,4,6,3,2,2,1,8,1,1998, ,2,7422,0,93,2,2, ,2, , , ,2,40,5,1970,17,5122,0,55,1,3,5,2, ,1,3,4,48,1960,5,1, , , , , , ,1,1, , , , ,1908,6114,0,1,1,2, , , , ,0,0,1,0,0,1,3,2,0,2,0, , , , , , ,2,0,5,3,1,1,2,3,3,1,0,0,1,9211,0,2,1,1,2,1973,4,4,2,2, , ,2,4, , , , , , , , , , , ,1,1977,4,1, ,7000000,2, , , , , , , , , , , ,1,2,3,1,2,1,2,2,2,2,2,2,2, ,2, ,2,3,2,11,11,121,11,2,2,2, ,1,3,3,1,6114,0,1,2,1
15,402,13, ,4,500,1,61,5,1,1,2,2,1, , , , , , , , , , ,61,21,18,40,4, , , , , , , , , , ,5, , ,5,1,3,1, , , , , , , , , , ,3,3,2,10, , , , , , , , , , ,1, , , ,1, , ,99,3,6, ,1,4,6,3,1, , , , , , ,1,8324,0,90,1,3,1,1,1,1,7,4,56,2,1995,12,9211,0,1,1,3,5,2, ,1,6,4,56,1958,5,1, , , , , , ,1,1, , , , ,1912,9211,0,1,1,3,2, ,1,6,0,0,2,0,0,1,1,2,0,2,0, , , , , , ,2,0,1,1,2,0,2,8,3,1,0,0,2,9213,0,2,1,1,2,1979,3,1,2,1,0,4,2,4,4,0,0, , , , , , , , , , , ,1, ,3000000,2, , , , , , , , , , , ,5,1,5,1,1,2,2,2,2,2,1,2,2, ,2, ,1,6,3,11,11,121,11,2,2,2, ,1,3,6,1,9312,0,45,3,2
16,521,13, ,4, ,1,63,4,1,2,1,2, , , , , , , , , , , ,63,54,29,22, , , , , , , , , , , ,5, , ,3,5,2, , , , , , , , , , , ,2,3,3, , , , , , , , , , , ,2,357,9,1,1, , ,99,3,5, ,1,4,6,3,1, , , , , , ,1,7412,0,15,1,3,1,2, ,1,3,4,48,2,1980,17,9132,0,15,1,3,1,2, ,1,4,4,70,1978,5,1, , , , , , ,1,1, , , , ,1909,9211,0,1,1,2, , , , ,3,3,9,0,0,2,3,1,1,1,1,2,1,2,2,2, ,2,0,4,2,1,1,3,3,3,1,0,0,0,9311,0,2,1,1,2,1969,1,1,2,2, , ,2,4,4,0,0, , , , , , , , ,1,1987,4,1, ,8000000,1,1,2,2,2,2, ,1,0,0,0,0,5,2,8,1,1,1,2,2,2,2,2,2,2, ,2, ,2,6,2,6,6,36,6,2,2,2, ,1,3,4,1,6121,1,1,2,1
17,470,13, ,4,137,1,61,5,1,2,1,1,2, , , , , , , , , , ,61,58,18,19,13, , , , , , , , , , ,4, , ,3,1,1,1, , , , , , , , , , ,2,3,3,7, , , , , , , , , , ,2,141,4,3,1, , ,99,6,2, ,1,1,3, ,2,2,2, ,1,2001,9,2,8282,1,31,1,3,1,1,2,1,5,4,48,2,2000,19,9211,0,1,1,3,1,2, ,1,4,4,48,1959,5,2,8282,0,2,31,1976,2000,1,1, , , , ,1906,1319,0,14,1,1, , , ,4,0,0,1,0,0,1,1,1,1,1,1,1,2,2,2,1, ,2,0,8,5,1,1,2,6,3,1,0,0,1,1100,0,2,1,1,2,1968,3,1,0,1,1,4,2,4,4,0,0, , , , , , , , , , , ,1, ,10000000,2, , , , , , , , , , , ,4,1,4,1,1,1,2,2,2,2,2,1,2, ,1,1,2,5,2,5,5,25,5,2,2,2, ,1,3,6,2,5163,0,75,4,1
18,3710,13, ,4,137,1,62,4,1,2,2,1,2, , , , , , , , , , ,62,61,33,8,7, , , , , , , , , , ,5, , ,3,5,5,3, , , , , , , , , , ,2,3,3,7, , , , , , , , , , ,1, , , ,1, , ,99,2,5, ,1,4,6,3,1, , , , , , ,1,9152,0,52,1,3,1,2, ,1,7,4,58,2,1998,11,9211,0,1,1,3,5,2, ,1,5,4,75,1965,5,2,9211,0,2,1,1988,1996,2,0,1,2, ,1,1908,9133,0,93,1,2, , , , ,0,0,1, , , , ,2,0,2,0, , , , , , ,2,0,4,1,1,1,6,4,3,1,0,0,1,7231,0,1,2,0,2,1966,3,3,1,2, , ,2,4,4,0,0, , , , , , , , ,1,1980,4,1, ,15000000,2, , , , , , , , , , , ,5,3,5,1,1,1,2,2,2,2,2,2,2, ,2, ,2,5,2,4,4,16,4,2,2,2, ,1,3,8,1,911,0,52,2,1
19,1120,13, ,4,13,1,57,3,1,2,2, , , , , , , , , , , , ,57,57,22, , , , , , , , , , , , ,5, , ,5,1, , , , , , , , , , , , ,2,3, , , , , , , , , , , , ,1, , , ,1, , ,99,3,6, ,1,4,3, ,1, , , , , , ,1,7136,0,75,1,3,1,2, ,1,7,4,48,1,1965,16,9333,0,15,1,3,1,2, ,1,6,4,48,1965,5,1, , , , , , ,2,0,1,2, ,1,1920,9131,0,95,1,2, , , , ,0,0,1,99,99,9,9,2,0,2,0, , , , , , ,2,0,3,1,1,1,3,6,1,2,1,0,9,5220,0,1,2,0,2,1970,3,3,2,2, , ,2,4,4,0,0, , , , , , , , ,1,1986,0,2, ,15000000,2, , , , , , , , , , , ,7,2,8,1,1,1,2,2,2,2,2,1,1, ,1,1,2,6,3,0, , ,0, , ,1,2,2, , , , , , , , 
20,72,13, ,4,137,1,58,4,1,2,1,1, , , , , , , , , , , ,58,26,24,3, , , , , , , , , , , ,4, , ,5,5, , , , , , , , , , , , ,3,3,7, , , , , , , , , , , ,1, , , ,1, , ,99,3,3, ,1,4,6,5,2,2,2, ,1,1993,4,2,9333,0,17,1,3,1,2, ,1,5,4,48,2,1975,13,9211,0,1,1,3,1,2, ,1,4,2,60,1961,4, , , , , , , ,1,1, , , , ,1916,9211,0,1,1,3,2, ,1,4,6,6,9,1,0,0,2,2,0,2,0, , , , , , ,2,0,5,2,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,10000000,2, , , , , , , , , , , ,1,2,3,1,1,1,2,2,2,2,1,2,2, ,2, ,2,5,1,5,5,25,5,1,2,2, ,1,3,5,1,9312,0,75,4,1
21,3662,13, ,1,72,1,64, ,1, , , , , , , , , , , , , , ,64, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,104,2,2,1, , ,99,12,3,33,1,1,3, ,1, , , , , , ,1,3413,0,70,1,3,3,2, ,2,2,4,10,5,2000,22,4190,0,65,1,3,1,2, ,1,6,4,48,1996,5,2,4190,0,2,65,1959,1996,1,1, , , , ,1898,110,0,75,1,4,1,2,1,7,13,0,9,6,6,9,3,1,1,2,0, , , , , , ,2,0,5,3,1,1,6,6,3,1,7,5,9,2411,0,2,1,1,1,1962,3,1,2,2, , ,2,4,4,0,0, , , , , , , , ,1,1970,4,1, ,0,1,2,2,1,2,2, ,0,0,1,0,0,0,0,0,1,1,1,2,1,1,1,1,1,1, ,1,1,2,5,3,2,2,4,2,2,1,2, ,1,6,6,1,131,0,0,3,1
22,3712,13, ,4,193,1,57,9,1,2,1,2,1,1,1,1,1, , , , , , ,57,59,39,37,27,21,18,6,4, , , , , , ,5, , ,3,2,5,5,2,5,1, , , , , , , ,11,11,11,11,11,11,11,11, , , , , , ,2,313,9,2,1, , ,99,3,4, ,1,4,3, ,1, , , , , , ,1,9132,0,52,1,3,1,2, ,1,7,4,48,1,1993,16,9132,0,55,1,3,6,2, ,1,3,4,98,1963,5,1, , , , , , ,1,1, , , , ,1900,3310,0,80,1,4,2, ,0,0,0,0,1,0,0,1,3,1,1,1,1,2,1,2,2,2, ,2,0,5,3,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,10000000,2, , , , , , , , , , , ,6,3,8,1,1,1,2,2,2,2,2,2,2, ,2, ,2,3,2,6,6,36,6,1,2,2, ,1,6,6,1,7412,0,15,3,1
23,350,13, ,4,72,1,64,3,1,2,1, , , , , , , , , , , , ,64,60,11, , , , , , , , , , , , ,5, , ,3,1, , , , , , , , , , , , ,2,7, , , , , , , , , , , , ,2,197,7,2,2, , ,99,1,0, ,4,4,6,9,1, , , , , , ,1,9120,0,52,2,2, ,2, , , ,4,24,5,1977,7,9151,0,64,1,2, , , , , ,4,26,1954,5,1, , , , , , ,1,1, , , , ,0,7442,0,19,1,3,2, ,1,3,3,6,9,3,4,9,2,2,0,2,0, , , , , , ,2,0,2,1,2,0,1,0,3,1,3,0,9,7411,0,2,2,0,2,1965,3,1,2,2, , ,2,4,4,0,0, , , , , , , , ,1,1987,4,2, ,7000000,2, , , , , , , , , , , ,2,1,2,2,1,2,2,2,2,2,2,2,2, ,2, ,2,1,1,8,8,64,8,2,2,2, ,1,3,0,1,5230,0,52,2,1
24,3576,9, ,3, ,1,64,6,1,1,1,2,1,1, , , , , , , , , ,64,38,19,28,2,1, , , , , , , , , ,2, , ,5,5,3, , , , , , , , , , , ,3,3,6,7,7, , , , , , , , , ,2,324,9,1,3,495,9,1,3,1, ,1,4,6,2,2,2,2, ,1,2001,2,2,9152,0,92,2,3,5,2, ,1,1,4,70,5,1975,15,9211,0,1,1,3,5,2, ,1,4,4,84,1972,5,1, , , , , , ,2,0,5,2, ,22,1881,6129,0,1,1,2, , , , ,1,0,9,0,0, ,0,2,0,2,0, , , , , , ,2,0,1,1,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,20000000,2, , , , , , , , , , , ,1,3,5,1,1,1,2,2,2,2,2,2,2, ,1,2,2,3,2,6,6,36,6,2,2,2, ,1,1,0,1,1315,0,55,2,1
25,1780,10, ,3, ,1,60,4,1,2,2,1, , , , , , , , , , , ,60,50,25,1, , , , , , , , , , , ,5, , ,3, , , , , , , , , , , , , ,2,3,7, , , , , , , , , , , ,2,429,10,1,3,0,10,1,1,0, ,4,4,6,0,1, , , , , , ,1,7411,0,15,1,3,1,2, ,1,2,4,48,1,1998,19,9211,0,1,1,3,5,2, ,1,3,4,60,1976,5,2,7411,0,2,15,1984,1998,2,0,7,2, ,30,0,6114,0,1,1,2, , , , ,1,0,9,1,0,0,3,1,1,1,1,2,1,2,2,2, ,2,0,3,2,1,1,2,3,3,1,1,0,9,7331,0,2,1,1,2,1973,3,1,2,1,1,4,2,4,4,0,0, , , , , , , , , , , ,1, ,3000000,2, , , , , , , , , , , ,3,1,3,1,1,2,2,2,2,2,2,2,2, ,2, ,2,3,1,7,7,49,7,2,2,1,6,1,1,0,1,6114,0,1,4,1
26,2689,13, ,3,425,1,59,2,1,2, , , , , , , , , , , , , ,59,62, , , , , , , , , , , , , ,5, , ,3, , , , , , , , , , , , , ,2, , , , , , , , , , , , , ,2,287,9,3,1, , ,99,3,2, ,1,4,6,2,1, , , , , , ,1,0,0,85,1,3,1,2, ,1,3,4,48,2,1975,18,7122,0,45,1,3,1,2, ,1,4,4,48,1960,5,1, , , , , , ,2,0,1,31, ,1,1920,9133,0,93,1,2, , , , ,0,0,2,99,99,9,9,2,0,2,0, , , , , , ,2,0,1,1,1,1,3,6,3,1,0,0,1,9313,0,0,2,0,2,1962,3,1,1,2, , ,2,4,4,0,0, , , , , , , , ,1,1985,4,1, ,12000000,2, , , , , , , , , , , ,5,1,5,1,1,1,2,2,2,1,1,2,2, ,2, ,2,6,3,0, , ,0, , ,2, ,2, , , , , , , , 
